ts,price,date
1777676474398,2293.021408224809,2026-05-01
1777680079362,2294.6636890449554,2026-05-02
1777683676072,2296.787346074892,2026-05-02
1777687241559,2297.410238136173,2026-05-02
1777690842978,2303.042275387308,2026-05-02
1777694437553,2304.767634789201,2026-05-02
1777698006933,2300.3261663699177,2026-05-02
1777701626863,2299.539247892629,2026-05-02
1777705243569,2304.315613999331,2026-05-02
1777708844700,2300.629230941663,2026-05-02
1777712442215,2302.6767097685383,2026-05-02
1777716037802,2304.7759991590706,2026-05-02
1777719647911,2303.657120771222,2026-05-02
1777723247989,2301.095621407465,2026-05-02
1777726852292,2303.0002020277448,2026-05-02
1777730468438,2308.272589677212,2026-05-02
1777734058127,2306.3031454349825,2026-05-02
1777737624577,2308.4052633164047,2026-05-02
1777741236228,2308.6875446134895,2026-05-02
1777744804183,2305.4188916878106,2026-05-02
1777748443847,2309.9291105256043,2026-05-02
1777752016254,2310.579246645769,2026-05-02
1777755640212,2311.152786469436,2026-05-02
1777759225096,2325.7404993514847,2026-05-02
1777762835808,2325.529607594327,2026-05-02
1777766460323,2316.4586335961117,2026-05-03
1777770043845,2313.6967193878972,2026-05-03
1777773624291,2303.454516463335,2026-05-03
1777777265574,2302.9828791958876,2026-05-03
1777780851625,2301.550996535235,2026-05-03
1777784433851,2301.103571828303,2026-05-03
1777788070723,2303.681500731413,2026-05-03
1777791669190,2304.3810742437936,2026-05-03
1777795222856,2308.843004661488,2026-05-03
1777798805401,2307.9911672844028,2026-05-03
1777802468259,2315.999205439289,2026-05-03
1777806034454,2311.4251774818463,2026-05-03
1777809616843,2319.532868458627,2026-05-03
1777813248836,2324.3534175357413,2026-05-03
1777816835890,2323.1191291298205,2026-05-03
1777820426492,2327.3288499655428,2026-05-03
1777824072351,2327.132990107428,2026-05-03
1777827634730,2328.0063324689463,2026-05-03
1777831210956,2331.106521645202,2026-05-03
1777834825476,2329.9924416220074,2026-05-03
1777838454570,2335.170951031727,2026-05-03
1777842033921,2329.0143131352015,2026-05-03
1777845647676,2322.7130801989447,2026-05-03
1777849212827,2343.476816551297,2026-05-03
1777852824623,2322.098013189142,2026-05-04
1777856408265,2318.066177920454,2026-05-04
1777860033575,2345.26833108959,2026-05-04
1777863642446,2378.2574787479666,2026-05-04
1777867219891,2383.653552484921,2026-05-04
1777870833284,2390.0828707339947,2026-05-04
1777874445172,2375.9148150136084,2026-05-04
1777878034483,2369.0546914731713,2026-05-04
1777881653212,2362.7278101555294,2026-05-04
1777885251171,2360.916195947578,2026-05-04
1777888850576,2367.9173458459986,2026-05-04
1777892427793,2337.846466059016,2026-05-04
1777896028036,2337.4478622225715,2026-05-04
1777899641692,2339.8722084537153,2026-05-04
1777903233811,2336.616822255613,2026-05-04
1777906828855,2373.0584033323385,2026-05-04
1777910459202,2348.39177531606,2026-05-04
1777914026836,2352.7486729571388,2026-05-04
1777917621535,2373.1330035726623,2026-05-04
1777921227227,2360.2554190500464,2026-05-04
1777924838616,2356.4458629068854,2026-05-04
1777928448904,2349.9231168733118,2026-05-04
1777932030774,2360.7936867743924,2026-05-04
1777935654971,2354.115439705464,2026-05-04
1777939215458,2346.3362606872515,2026-05-05
1777942870084,2357.7255542124326,2026-05-05
1777946417944,2360.9968179939865,2026-05-05
1777950043126,2365.8789358802965,2026-05-05
1777953628767,2382.132542356807,2026-05-05
1777957275170,2380.4611177444326,2026-05-05
1777960811236,2379.3348354700893,2026-05-05
1777964457490,2377.472792568034,2026-05-05
1777968060001,2380.1620747498973,2026-05-05
1777971630822,2375.6440736354825,2026-05-05
1777975269669,2368.3693640438682,2026-05-05
1777978859852,2376.649867604906,2026-05-05
1777982447871,2378.6597133459077,2026-05-05
1777986008306,2388.44179114102,2026-05-05
1777989658657,2388.236297697939,2026-05-05
1777993213012,2378.3736353827344,2026-05-05
1777996856374,2381.2972287459156,2026-05-05
1778000474221,2365.1465690020887,2026-05-05
1778004025292,2363.1987478048322,2026-05-05
1778007675054,2372.132452723321,2026-05-05
1778011231742,2372.417702263088,2026-05-05
1778014844884,2382.6016191116796,2026-05-05
1778018424204,2375.98434004715,2026-05-05
1778022048522,2367.366951570074,2026-05-05
1778025642212,2361.0857066652707,2026-05-06
1778029244341,2364.56204020815,2026-05-06
1778032852932,2371.669819540861,2026-05-06
1778036412678,2369.404213134749,2026-05-06
1778040007161,2376.5726828186584,2026-05-06
1778043625184,2365.639562147917,2026-05-06
1778047254786,2364.2111652446733,2026-05-06
1778050849120,2369.9502333798905,2026-05-06
1778054419250,2370.522164343379,2026-05-06
1778058011659,2391.8209910316027,2026-05-06
1778061672438,2410.957544325686,2026-05-06
1778065261257,2411.264544629801,2026-05-06
1778068855225,2409.7024513407564,2026-05-06
1778072406629,2404.420226994457,2026-05-06
