ts,price,date
1778655636992,80954.3346205502,2026-05-13
1778659243879,80976.2602877737,2026-05-13
1778662815924,81150.00352652717,2026-05-13
1778666462316,81234.86412675556,2026-05-13
1778670026128,80794.70352168809,2026-05-13
1778673618489,80484.93652001802,2026-05-13
1778677261738,80172.12834472199,2026-05-13
1778680868364,79611.24439222651,2026-05-13
1778684469191,79694.94565363339,2026-05-13
1778688050345,78827.54792181139,2026-05-13
1778691675904,79083.71529336565,2026-05-13
1778695223416,79469.1336535052,2026-05-13
1778698837752,79611.13033898249,2026-05-13
1778702438723,79563.36017130932,2026-05-13
1778706042663,79664.0059203044,2026-05-13
1778709646841,79371.06007842836,2026-05-13
1778713229025,79401.91331959852,2026-05-13
1778716834090,79277.8045183824,2026-05-14
1778720444431,79571.06259655117,2026-05-14
1778724028139,79556.9768049897,2026-05-14
1778727642672,79326.79558356298,2026-05-14
1778731225393,78973.18631712155,2026-05-14
1778734807932,79398.19210185793,2026-05-14
1778738439350,79785.00644936842,2026-05-14
1778742051863,79790.68604436822,2026-05-14
1778745646496,79766.37977146132,2026-05-14
1778749246781,79786.22165732547,2026-05-14
1778752867474,79601.9534672012,2026-05-14
1778756459819,79545.68685406531,2026-05-14
1778760052089,79264.05774143318,2026-05-14
1778763639709,79726.24351022104,2026-05-14
1778767242849,79810.89690179186,2026-05-14
1778770817616,80920.39660281195,2026-05-14
1778774448731,81293.32833629358,2026-05-14
1778778049769,81594.45896822178,2026-05-14
1778781656078,81700.16059140985,2026-05-14
1778785214230,81590.6148904032,2026-05-14
1778788856885,81386.90364619115,2026-05-14
1778792440791,81368.81927128704,2026-05-14
1778796018283,81381.94694404372,2026-05-14
1778799604813,81418.22020889683,2026-05-14
1778803244336,81051.9828878728,2026-05-15
1778806856229,81487.62279226341,2026-05-15
1778810435428,81145.39406037347,2026-05-15
1778814011480,81285.34355768772,2026-05-15
1778817628158,81055.27674142539,2026-05-15
1778821246244,80770.59490895896,2026-05-15
1778824863954,80325.3288090536,2026-05-15
1778828463727,80557.777154733,2026-05-15
1778832070210,80796.51952614383,2026-05-15
1778835627070,80618.72075688612,2026-05-15
1778839247747,80436.75045952036,2026-05-15
1778842869044,80706.63243655507,2026-05-15
1778846421201,80606.09448486914,2026-05-15
1778850042577,80353.73089436247,2026-05-15
1778853642482,78742.81197902776,2026-05-15
1778857221370,79207.6625868325,2026-05-15
